name,year,made_at,size,catalog_no,filename
Still Life With Cabbage And Clogs,1881,The Hague,Oil on paper on panel 34 x 55 cm,F 1 - JH 81,deep1_still_life_with_cabbage_and_clogs.jpg
Beach At Scheveningen In Calm Weather,1882,The Hague,35.5 x 49.5 cm,F 2 - JH 173,deep2_beach_at_scheveningen_in_calm_weather.jpg
Dunes,1882,The Hague,Oil on panel 36 x 58.5 cm,F 2a - JH 176,deep3_dunes.jpg
Women Mending Nets In The Dunes,1882,The Hague,Oil on paper on panel 42 x 62.5 cm,F 7 - JH 178,deep4_women_mending_nets_in_the_dunes.jpg
"A Girl In The Street, Two Coaches In The Background",1882,The Hague,Oil on canvas on panel 42 x 53 cm,F 13 - JH 179,"deep5_a_girl_in_the_street,_two_coaches_in_the_background.jpg"
Girl In The Woods,1882,The Hague,Oil on panel 35 x 47 cm,F 8a - JH 180,deep6_girl_in_the_woods.jpg
Two Women In The Woods,1882,The Hague,Oil on paper on panel 35 x 24.5 cm,F 1665 - JH 181,deep7_two_women_in_the_woods.jpg
Girl In White In The Woods,1882,The Hague,39 x 59 cm,F 8 - JH 182,deep8_girl_in_white_in_the_woods.jpg
Edge Of A Wood,1882,The Hague,Oil on canvas on panel 34.5 x 49 cm,F 192 - JH 184,deep9_edge_of_a_wood.jpg
Man Stooping With Stick Or Spade,1882,The Hague,Oil on paper on panel 31 x 29.5 cm,F 12 - JH 185,deep10_man_stooping_with_stick_or_spade.jpg
Dunes With Figures,1882,The Hague,Oil on canvas on panel 24 x 32 cm,F 3 - JH 186,deep11_dunes_with_figures.jpg
Beach At Scheveningen In Stormy Weather,1882,Scheveningen,34.5 x 21 cm,F 4 - JH 187,deep12_beach_at_scheveningen_in_stormy_weather.jpg
Fisherman On The Beach,1882,The Hague,Oil on canvas on panel 51 x 33.5 cm,F 5 - JH 188,deep13_fisherman_on_the_beach.jpg
Fisherman'S Wife On The Beach,1882,The Hague,Oil on canvas on panel 52 x 34 cm,F 6 - JH 189,deep14_fisherman's_wife_on_the_beach.jpg
Cluster Of Old Houses With The New Church In The Hague,1882,The Hague,Oil on canvas on cardboard 34 x 25 cm,F 204 - JH 190,deep15_cluster_of_old_houses_with_the_new_church_in_the_hague.jpg
Bulb Fields,1883,The Hague,Oil on canvas on panel 48 x 65 cm,F 186 - JH 361,deep16_bulb_fields.jpg
Three Figures Near A Canal With Windmill,1883,The Hague,Unknown,F 1666 - JH 383,deep17_three_figures_near_a_canal_with_windmill.jpg
A Wind-Beaten Tree,1883,The Hague,35 x 47 cm,F 10 - JH 384,deep18_a_wind-beaten_tree.jpg
Potato Digging (Five Figures),1883,The Hague,39.5 x 94.5 cm,F 9 - JH 385,deep19_potato_digging_(five_figures).jpg
Footbridge Across A Ditch,1883,The Hague,60 x 45.8 cm,F 189 - JH 386,deep20_footbridge_across_a_ditch.jpg
Cows In The Meadow,1883,The Hague,Oil on canvas on panel 31.5 x 44 cm,F 15 - JH 387,deep21_cows_in_the_meadow.jpg
Lying Cow,1883,The Hague,30 x 50 cm,F 1b - JH 388,deep22_lying_cow.jpg
Lying Cow,1883,The Hague,19 x 47.5 cm,F 1c - JH 389,deep23_lying_cow.jpg
Farmhouses In Loosduinen Near The Hague At Twilight,1883,The Hague,Oil on canvas on panel 33 x 50 cm,F 16 - JH 391,deep24_farmhouses_in_loosduinen_near_the_hague_at_twilight.jpg
The Sower (Study),1883,The Hague,19 x 27.5 cm,F 11 - JH 392,deep25_the_sower_(study).jpg
Landscape With Dunes,1883,The Hague,Oil on panel 33.5 x 48.5 cm,F 15a - JH 393,deep26_landscape_with_dunes.jpg
Marshy Landscape,1883,The Hague,25 x 45.5 cm,JH 394,deep27_marshy_landscape.jpg
